id,name,description,recommendedAttributes/0,recommendedAttributes/1,recommendedAttributes/2,recommendedStats/0,recommendedStats/1,requirements/0,requirements/1,requirements/2,ranks/0,ranks/1,ranks/2,ranks/3,ranks/4,ranks/5,ranks/6,ranks/7,ranks/8
11,Cleric,"The worlds greatest healers, able to mend bones, cure disease, and even prevent death.",Int,End,Hrt,MP,HP,"Heal a non party member who is injured, sick, or in pain.",Help others recover a total of 150 recovered HP.,Save 5 total people who were on the brink of death with your healing.,You now have access to the Novice level spells in the Restoration arcanum for Clerics.,Healer's Spirit (3dp) - Recover half of the HP you just restored to another. (this stunt can only be used immediately after healing a target with a restoration spell),All of your healing Restoration Arcana  now add your Heart attribute modifier to HP recovered.,You now have access to the Adept level spells in the Restoration arcanum for Clerics,"If your healing spell would have brought an ally above 100% of their max health, they now retain the extra HP that you healed for the next 5 min.",Whenever you cure an ally of a poison or affliction you may save the essence of that affliction within a vial to use at a later time. The curse is half as potent as what you originally healed.,You now have access to the Master level spells in the Restoration arcanum for Clerics,While you are Well Rested all of your healing spells are twice as effective.,You may now cast Ressurecting Light on a dead character that died in the last 24 hours instead of 1 hour.
12,Commander,The true leader on the battlefield. Commanding their armies and allies from the frontlines. The commander will bring their people victory.,Cha,End,Wis,HP,Spd,Lead an NPC to victory in battle.,Lead a group of at least 2 NPCs who have sworn themselves to you through 3 total combat encounters.,Lead and win a battle in which you and your followers were outnumbered and outclassed with 0 casualties.,NPCs are now willing to follow you. You may gain a number of followers equal to your commander rank rounded down. You must earn the trust of your followers.,"Forward March (3dp): Give your followers an order, they get +1 to all tests directly related to following your order. (does not stack)",As a minor action you may now roll a TN 15 Cha (Leadership) test. If you succeed all your followers recover from being Winded.,You may now promote a follower to honor guard. They live to protect you. If they are adjacent to you enemies must attack them to get to you.,Your leadership has expanded your influence if you prepare a battle plan ahead of time everyone who participates in the plan gains +2 to fulfill their role during battle.,Your honor guard now gains +1 def and +2 armor when guarding you.,You gain now promote one of your followers to an elite version of that follower. (See Game Info/Creature Upgrade Table),You may now give your followers special training in a focus you have advanced (+3) training in. Granting them +1 towards this focus. This takes a total of 12 hours.,You may now recruit up to any number of followers. No cap
13,Death Knight,"A lone knight falls amongst his slain comrades. As they lay dying, the knight's hatred and regret grows to the point where they will evade death until they have taken their revenge.",End,Str,Acc,HP,Spd,Have a near death experience. Be willing to do anything to avoid death.,Fall below 0 HP a total of 3 times.,Be reduced to nothing more than a skeleton as a Death Knight.,"Until you die, this specilization does nothing. You have been reborn as an undead knight. You don't have to eat, drink, or breathe, and are immune to poison damage. Healing magic no longer works on you, but you heal double the HP while you rest. Falling below 0 HP will not kill you but will cause you to decompose faster.","You can no longer become fatigued, but taking a level of fatigue lowers your HP by 15.",You may now rest in half the time it took you when you were alive,You are now immune to targeting attacks,"Necrostrike (Major Action) - (-1 to hit) channel your undead energy into your blade, and strike the foe. If your blade strikes living flesh, the target is affliced by necrosis. (1d6 damage every round, until healed)","Plaguebringer - when you come into direct contact with food, the food becomes infected. Any who eat this blighted food must make a TN 16 End (Poison Res) test or suffer from terrible diseases",Siphoning Strikes - whenever you reduce a creature to 0HP you regain Hp equivalent to 1/2 the damage you just dealt to bring them down to 0.,You now gain advantage on all Endurance tests,"Death has no hold over you. Take 1/2 damage from all mundane forms of damage. You still take full damage from magic, energy, and spiritual attacks."
14,Delver,Explorer of the vast lands and ruins of the world. Careful not to delve into a dungeon deeper than you can climb out!,Per,Dex,Int,Spd,HP,Successfully enter and fully explore a hostile base/dungeon/cave etc,Use your exploration drone to detect 3 traps or detection systems without triggering them.,Use your exploration drone to scan enemies on 5 unique occasions.,Upon entering a dangerous place you may to choose to be made aware of either the minimum or maximum threat level of the enemies inside.,Quick Reaction (2dp): You can take a Minor Action before the combat encounter begins.,"You may build a Droneboy 9000 to use on a doorway to percieve if there are traps or detection equipment in the area beyond, as well as the area map. The Droneboy 9000 is fueled by an EC (Energy Cell) and can fly for 1 hour on a single charge, OR expend a charge to check for traps. (see specialized gear for more info)",Advantageous Positioning (3dp): For the next 3 rounds your movement speed is doubled. You may also immediately move to any position in range.,Gain an additional +2 to your Dex and Per in the next area immediately after using Droneboy 9000 on an area.,"Droneboy 9000 may now run off of a LEC (Large Energy Cell). If it does then it gains 3 additional charges (4 total), and may expend a charge to scan the enemies in the next room. A scan gives you information about the enemies including number, relative threat level, and potential weaknesses.",Droneboy9000 may now expend an energy cell charge to alter traps or detection equipment to no longer apply to yourself or allies and now applies to enemies instead.,You now gain +3 defense when attacked by an enemy lower than you in the initiative order.,"You may expend an energy cell charge to use Droneboy 9000 on the entrance to dungeons, buildings, and other contained dangerous areas to percieve the full map of the location."
15,Druid,"Friend to nature, you would rather be around plants and spend time in your garden than among people. Manipulate plants to attack your foes and cast powerful support spells using them.",Wis,Hrt,Per,MP,HP,Spend at least 1 hour per day surrounded by nature.,You must now always sleep surrounded by nature.,"You cannot be separated from nature for more than 8 hours, or you will lose your Druidic powers until your rest among nature again.",You now have access to the Novice level spells in the Animism arcanum for the Druid.,"You may enrich a small plot of land or area of soil to designate as your garden. This land always receives the benefit of the spell Enrich Vegetation, and you are always aware of the status of these plants even when separated. You must expend 1 MP/day to maintain this arcane garden. ","If you rest in the presence of flourishing plants in nature you recover and become well rested in 1/2 the time, but you cannot become well rested if you are not in the presence of nature.",You now have access to the Adept level spells in the Animism arcanum for the Druid.,"When using Manipulate Vines while concentrating and communicating with a plant via Green Communion your connection allows for a much stronger spell. Increase the damage dealt from 3d6 to 6d6, and the TN for a foe to break free from being bound from a 14 Str (Might) to 18. ",The plants in your garden are now always connected to you via Green Communion. You may cast this spell as a free action when targeting your garden regardless of your location. This expends no additional MP.,You now have access to the Master level spells in the Animism arcanum for the Druid.,You may cast Floral Portal as a free action when your target is your garden. This expends no additional MP.,"While communicating with plants using Green Communion you may now receive their energy as MP if the plants are willing to spare their energy with you. The amount of MP varies by species, but some ancient groves have nearly limitless MP."
16,Drunken Master,"Your body has adapted to alcohol, and now gains power and strength from drinking.",Dex,End,Acc,Spd,HP,Become wasted on 5 separate occasions.,Survive after entering the Dying state on the Sobriety table.,Spend 1 week straight while intoxicated.,"Being buzzed now grants you +1 Dex instead of -1 Dex.

You may also choose to fail an End (Poison Res) test.","SHOTS, SHOTS (3dp): You may make a free ranged attack and take a drink, increasing your level on the drunkeness table",Being drunk now grants you +2 Dex and you no longer suffer -1 to Per.,"Gain a bonus +2 towards End (Poison Res) tests, but you may choose to fail this test if you want. ",Being plastered now grants you +3 Dex and does not lower your other attributes. You must still roll a Dex (Balance) test to move,While under the influence of alcohol you generate 1 additional doubles point whenever you roll doubles.,Being wasted now grants you +4 Dex and does not lower your other attributes. You must still roll a Dex (balance) test to move.,"You can no longer die from excessive drinking, and consuming additional alcohol once you are wasted resulting in you gaining 5HP. You may not receive the benefits of this healing a second time unless you take damage again.","When making a melee attack while under the influence of alcohol you may choose to attempt to force alcohol onto your enemy instead of making an attack. Roll an Acc (Brawling) test vs their defense. If you win, the opponent drinks the booze."
17,Duelist,"You have two hands, why not use two weapons? Seriously what a waste.",Acc,Str,Dex,HP,Spd,Successfully make at least 3 melee attacks with 2 different weapons during a single combat encounter.,Successfully make at least 7 melee attacks with 2 different weapons during a single combat encounter.,Successfully make at least 12 melee attacks with 2 different weapons during a single combat encounter.,You may now effectively wield a Light Weapon in your off hand and attack with it as a minor action. This weapon suffers a -2 penalty to hit. The secondary attack does not generate doubles points. You must pass the Weight Requirement for both weapons.,Lightning Attack (3dp): Immediately make a second attack with a currently equipped weapon of your choice.,Making attacks as minor actions may now generate up to 2 doubles points maximum.,You may now wield any one-handed weapon in your off hand as long as you still pass the combined Weight Requirement for both weapons.,You can now enter a parrying stance as a minor action to gain +1 defense and allow you to perform an attack of opportunity once against a foe who unsuccessfuly attacks you before your next turn. The effects of this stance last until your next turn.,Making attacks as minor actions may now generate up to 3 doubles points maximum.,Making attacks as minor actions no longer suffer a -2 to hit opponents.,Rolling triples to hit a foe on a lightning attack chain now adds an additional lightning attack to the chain.,You may now use the Major Action Dual Strike to attack with both your weapons at once making an attack roll for each. You may still make additional attacks as a minor action. 
18,Elemancer,"Only the Avatar, master of all the elements, could stop them, but when the world needed them most, they vanished. (go deep with one or shallow with many)",Int,Dex,Hrt,MP,HP,Learn the novice level spells for a single element.,Learn all of the spells for a single element.,Learn all of the spells for two or more elements.,Learn any 3 elemental spells. In order to learn the adept or master level spells you must have learned both the spells within that element for the previous rank.,"Channel Element (3dp) - Add elemental effects to any weapon of your choice within 20 m for 1 round. Fire - can set enemies on fire, water - attacks become piercing, earth - +3 damage, air - +2 to attack",Learn any 3 elemental spells. In order to learn the adept or master level spells you must have learned both the spells within that element for the previous rank.,You gain access to the spell Manipulate Element (if you do not already have it) and may cast it as a minor action. ,Learn any 3 elemental spells. In order to learn the adept or master level spells you must have learned both the spells within that element for the previous rank.,"You gain arcane armor to resist damage from the elements you are skilled at using. This armor is based off of your degree of skill with that element. Novice gives you 5 armor, Adept gives you 10, and Master gives you 15. This arcane armor ONLY applies to elemental damage.",Learn any 3 elemental spells. In order to learn the adept or master level spells you must have learned both the spells within that element for the previous rank.,When casting Manipulate Element you may reduce the TN of the spell by 3 and may now cast the spell as a free action once per turn.,"Select one of the elements that you have reached master rank with. When casting spells from this element reduce the spell target number by 2, and the MP required to cast by 25%."
19,Engineer,"You make it your goal to design, build, and modify weapons and armor to suit your needs. Plasma sword anyone? Mech suit? ",Dex,Int,Per,Spd,MP,Successfully make modifications on 3 tools or weapons to improve them.,Construct a BPE and install either a PAC or PJC,"Fully kit out a BPE made from either Black Steel, Orichalcum, or Tritanium with a powered weapon and visual modifier",You have the ability to build a (BPE) basic powered exoskeleton. This augments different base attributes and grants an armor rating based on the materials it is built from. (30kg of material). See the engineer specific gear section for more details.,Quick Weapon Modification (QWM) (2dp): On the fly you are able to quickly modify your or an adjacent ally's weapon to deal an additional 1d6 lightning damage for 2 rounds.,You have the ability to install either a (PAC) powered arm cannon or a (PJC) plasma jet cutter into your BPE. These require Energy Cells and have 3 uses/Cell. Major action to replace the Energy Cell,Rapid Cell Change (RCC) (2dp): Immediately replace an expended energy cell to any device you are using.,You have the ability to add a visual modifier to your BPE with either a (IRV) Infrared Visor or (AVT) Acute Vitality Tracker,You may now Turbo Charge Energy Cells. It takes you 30 min and 10 extra credits worth of materials to modify each Cell. This new design doubles the cell's previous usage before recharge. Likewise RCC can now be performed for 1 less dp.,"You may now convert your (BPE) into an (MPA) Mechanized Power Armor. Requires either Adamantite, Promethium, Mythril, or Astral as building material. (300 kg of material). Grants additional Attribute modifiers, armor ratings, and more.",You can now add the other invention from the Rank 3 Engineer and Rank 5 Engineer to your MPA (mechanized power armor).,You have the ability to invent a (MPA) upgrade for either a (JPT) Jet Propulsion Thruster or a (OHM) Onboard Hovering Mechanism.
20,Gambler of Fate,"All or nothing, you guide the strings of fate and weave them to create the pattern you desire. This power could easily slip through your fingers though if your luck runs out.",Wis,Cha,Dex,Spd,MP,Roll triples and succeed a test roll.,Roll a legendary [6][6][6] or a Crit Fail [1][1][1],Have the GM roll you a legendary [6] [6] [6] with the use of the spell Role Reversal.,You now have access to the Novice level spells in the Mysticism arcanum for the Gambler of Fate,Stunt Bank (1+dp) - Save these doubles points to be used for your next roll. They are lost if not used on the next roll.  (max 3),"At the beginning of your turn you may roll a 1d6. If you roll a 5 or 6 you gain an extra minor action. If you roll 2, 3, or 4 nothing happens. If you roll a 1 you lose a minor action.",You now have access to the Adept level spells in the Mysticism arcanum for the Gambler of Fate,A tie roll is always in your favor now. (This usually applies when defending),"When you are Well Rested you may choose to call mulligan on one of your dice after making a roll letting you reroll a single dice. If you roll a 4 or lower, you are no longer Well Rested. If you roll a 1, you become Weary.",You now have access to the Master level spells in the Mysticism arcanum for the Gambler of Fate,When casting Mystery Swap you may now choose which ability you want to trade with your target.,"Anytime you fail a roll or it doesn't go the way you wanted, you may roll a single dice. If you roll a 1, the result becomes worse, a 2-4 the result is unchanged, but if you roll a 5-6 your luck changes and the failed result becomes in your favor. GM decides the results"
21,Gladiator,You are at your strongest when the crowds are cheering you on. You thrive in the one on one battle arena. You are the gladiator.,End,Str,Dex,HP,Spd,Survive a 1-on-1 battle in front of a crowd of at least 5 people.,Survive a battle where you are outnumbered 2-to-1 before crowd of at least 50 people.,Fight and win in a 1-on-1 battle before a crowd of at least 500 people,You now gain a bonus d6 called a glory die. This dice can be used either when making an attack or dealing damage. You can expend 1 hour in intense training  to regain a glory die (doing so will leave you Drained). You may also regain a glory die upon defeating an opponent in 1-1 combat or by spending a conviction point.,Sway the Crowd (3dp): Your actions have gained the favor of the spectators. This returns a spent glory die to you,"You may now perform a gladiator maneuver as a free action by expending a glory die. Your current available maneuvers are the following stunts:
 Knock Prone, Disarm, Skirmish (3 m).","You gain a 2nd Glory die, and now recover a glory die whenever you slay any opponant.","At the beginning of the combat encounter you may declare a 1v1 battle against an opponent. If they agree you gain +2 to your Per (Initiative) test, +2 to all damage rolls, and can sway the crowd for 1dp until the 1v1 ends.","When attacking an enemy that has been knocked prone, you deal an additional 2d6 damge.",You gain a 3rd glory die. And may now regain a spent glory die through training for 15 min. If you train this way you will become Weary.,Deal +1 bonus damage for every 100 people who are watching your fight. ,You gain a 4th glory die AND regain all glory dice upon entering 1-on-1 combat
22,Guardian,"Protect and serve. You live to guard those whom you have given your life to. Your live your life as a shield, so you better not go down, they are relying on you.",End,Str,Hrt,HP,Spd,Take a hit meant for someone else to protect them.,Block 5 or more attacks in one round.,Tank 100 total damage in a single encounter,Your dex penalty when using shields and armor is now reduced by 1.,Shield - Shield Bash (3dp): Stun your target resulting in them losing one of their next minor actions.,Protect (Major Action) - Chose an adjacent ally. You stand firm next to them ready to intercept any attack aimed at them until your next turn. You must actually take the hit though.,Your dex penalty when using shields and armor is now reduced by a total of 2.,When you are protecting an ally your shield's physical armor bonus is considered 2 higher than normal. ,Protect now applies to all allies within 2 m of you.,Your dex penalty when using shields and armor is now reduced by a total of 3.,Protecting an ally is now a minor action.,Any physical melee and ranged attacks that manage to get through your armor now deal 1/2 the remaining damage they would have.
23,Gunfighter,Guns blazing is an excellent motto. Especially the guns part. Lots of them. ,Acc,Dex,Per,Spd,HP,Land 3 shots in a row in a single combat encounter with a pistol. ,Slay 2 creatures in a single round with shots from your firearms.,Land 9 shots against a single target with your firearms in one combat encounter.,"You may now wield two pistols at a time by using a pocket pistol in your off hand. Firing with your off hand is considered a minor action, but cannot generate doubles points. You may reload both guns as a major action.",Lightning Shot (5dp): Immediately reload and make a second attack with an equipped gun of your choice.,You may now wield any one-handed gun in your off hand. This weapon is considered to have +1 to its weight requirement.,Attacks made in your short range have +2 to hit opponents. ,You may now reload both your guns as a minor action.,For every shot you land against a target you gain +1 defense towards that target until your next turn.,The Lightning Shot stunt may now be performed for 3dp instead of 5 AND Your secondary attack may now generate up to six doubles points.,You may now shoot both guns as a single major action. This attack has 1/2 the normal range of your guns.,You are fully aware of the inner workings of your firearms. You can now reload your 2 main guns as a free action once per turn. A main gun is one you have used consecutively for at least 30 days
