id,name,actionType,description,origin
60,Fungal Exposure,Major,You may spread your fungus to someone you touch. The exposed target must roll a TN 13 End (Poison Res) test or they take 1d6 poison damage and they lose a minor action on their next turn.,specialization
61,Study Creature,Minor,You may now attempt to shapeshift into a creature you are observing in the heat of combat. As a minor action observe a target and make a TN 18 Hrt (Animal Handling) test. If you succeed you may immediately cast Complete Transformation as a free action and shapshift into the creature. You may only attempt this once per creature.,specialization
62,Laser Focus,Minor,Gain +2 towards hitting a target with a projectile. (may only be used once per turn),specialization
63,Yoink,Major,"Attempt to steal an opponent's weapon during combat. Roll Dex (Sleight of Hand) vs an opponent's Str (Grappling). The target gains advantage on this roll. If you succeed you have stolen the opponent's weapon. If you fail, the target gets to make an immediate attack of opportunity against you.",specialization
64,Golden Eye,Minor,Look at a single target and determine the amount of credits that target is currently carrying.,specialization
65,Arcane Storage,Minor,Your arcane nucleus has now been imbued with your power. You may store up to 10 MP into your nucleus. This MP can be stored and reabsorbed by you as a minor action. ,specialization
66,Arcane Bolt,Major,Channel magical power into a staff or wand to fire an arcane bolt in exchange for 1 MP that deals 1d6 + Wis arcane damage. Range = 5 times your Intelligence in meters. Requires an Accuracy (Arcane) test to hit a target.,specialization
67,Manipulate Arcane Bolt,Minor,Arcane Bolt can be freely manipulated as a minor action. Manipulating the bolt costs 1 additional MP but results in the bolt gaining a +2 to hit the target and allows you to attack targets hiding behind cover without penalty. ,specialization
68,Direct the Assault,Minor,"Direct your team in planning a strategy to attacking a single target. Until your next turn, all allies who hear your plan gain +2 bonus damage towards the target.",talent
69,First Aid,Major,Apply basic first aid to yourself or another character. Either stabilize a dying character at 1 hp bringing them to fatigue level Drained OR make an Int (Medicine) test and restore the target's hp by 1/2 of your result. You may not perform this action on the target again until they have recieved damage again. This action reuires bandages and other healing equipment.,talent
70,Take Down,Major,While unarmed or brawling you may take your opponent to the ground and attempt to pin them there. On your opponent's turn make an opposed Str (Grappling) test vs your opponent. If you succeed they may not move or perform most actions.,talent
71,Dantalion's Passion,Major,"Channel the passion of Dantalion and roll a Hrt (Faith) test and deal 3d6 + Hrt arcane damage to all targets in a 10m radius. Targets must roll Dex (Acrobatics) test vs your faith test. If succesful, they take no damage.",constellation
72,Baal's Change,Major,"Channel Baal's tendancy for change and roll a Hrt (Faith) test. A bolt of lightning strikes you, and teleports you instantaneously to another location somewhere nearby. Baal/DM chooses your new location.",constellation
73,Seir's Tolerance,Major,Channel Seir's tolerance and roll a Hrt (Faith) test. Your tears restore a single target's HP and MP by an amount equal to your result. You may only use this once per day.,constellation
74,Blythe's Order,Major,Channel Blythe's desire for order and select a target and roll a Hrt (Faith) test. The target's body begins to freeze over completely imobilizing them. On their next turn they must roll a Str (Might) test greater than your Faith roll to break free.,constellation
75,Morax's Justice,Major,Channel Morax's justice and roll a Hrt (Faith) test and make a contract with another willing target. If either of you breaks this contract that character will turn to stone. ,constellation
76,Asmodeus' Discipline,Major,"Channel Asmodeus' discipline and roll a Hrt (Faith) test. If you are successful, the last consumable item that you used will be immediately replenished (time limit 5 minutes). TN determined by the GM.",constellation
77,Aster's Freedom,Major,Channel Aster's freedom and roll a Hrt (Faith) test. You are able to fly for a number of minutes equal to your test result. Your flying speed is equal to your normal movement speed.,constellation
78,Zagan's Security,Major,Channel the security of Zagan and roll a Hrt (Faith) test. For the next round your defense vs ranged attacks is equal to your test roll. Keep your original defense if it is higher than your roll. You may use this ability on another target if they are willing.,constellation
