id,name,origin,dpCost,description
111,Repositioning,specialization,2,You may change location and move up to 1/2 your movement speed immediately after firing a projectile.
112,Vengeful Blow,specialization,3,Your sworn enemy must die. Your attack against your designated species deals 2d6 extra damage and penetrates the opponent's armor.
113,Abra-ca-stab-ya,specialization,3,Immediately after casting a Spellsword spell you may make a melee atack or vice-versa.
114,The richer they are...,specialization,3,Deal +1d6 more damage for every 1000 credits the foe is carrying on their person.
115,What are Friends For?,specialization,3,The character you are interacting with begins to see you as a friend. The next time you lie or try to fool them gain a +3 Cha (Deception) towards this target.
116,Fast Casting,specialization,4,"After you resolve casting a spell, you may immediately cast another spell. This second spell does not generate doubles points."
117,Combined Arms,specialization,3,"After you make a melee attack, a squadmate may make an immediate attack with firearms and vice-versa."
118,A Cut Above,talent,2,"When evaluating goods you notice that a particular piece has caught your eye. This item is a higher rank than it's counterparts. These are often worth more, have special abilities, or represent specific groups or faiths."
119,Fierce Bolt,talent,3,Your arcane bolt deals 1d6 extra arcane damage and knocks the opponent prone.
120,Drinking Buddies,talent,2,The character you are drinking with now views you as someone they trust. They are more likely to go out of their way to help you. 
121,Create Handhold,talent,2,While climbing you are able to find handholds in the surface you are climbing. Anyone with knowledge of the handholds you have found gains +2 to further climbing tests.
122,Know a Guy,talent,3,You just remembered you have a friend of a friend who's mother's brother's neice lives in this city. This contact will be willing to give you information for free.
123,Bon Appétit,talent,2,You have made a delicious meal. Any who eat this meal while it is still fresh gain +1 Heart for the next 6 hours.
124,Complete Transformation,talent,2,With limited resources and and endless imagination you have transformed (yourself or a target) to gain +2 on deception tests while wearing the disguise
125,Good Listener,talent,2,The character you are interacting with can tell that you truly care for them. They open up more and tell you what has been burdening them.
126,Craft Samurai,talent,4,Add a unique aspect to your created design that will grant a temporary +1 boost to a relevant focus (for 1 hour) for anyone who is using or appreciating your art. They may only gain the benefit of this effect once per day.
127,Sway the Crowd,talent,1,"Your persuasiveness has not only convinced your target to agree with you, but others who were listening as well. Convince a number of people equal to the amount of doubles points spent."
128,Flowery Tongue,talent,3,"Impress wittnesses and compliment those around you, all who witnessed your speach will be more likely to view you as a friend."
129,Uplifting Performance,talent,3,Your performance was so impressive those who witnessed it gain +1 to all Heart rolls for the next hour.
130,Loaded Dice,talent,3,Gambling is a mix of luck and stacking the odds in your favor. Reroll the non doubles die. (if you rolled triples reroll any die)
131,Aerial Artistry,talent,2,"Add in a flip, twist, or roll to whatever movement based action you were performing. Doing so increases your movement speed for the remainder of the turn by double."
132,Lion's Heart,talent,2,Let out a roar of defiance against your enemies bringing courage to your nearby allies. Every ally within 10 meters of you gains +1 to Hrt (Courage) tests for every 2 dp you spend.
133,Tell Me More,talent,3,The character you are interviewing will willingly give more information than they originally intended.
134,Speedy Search,talent,2,You complete your search nearly instantly. The first place you looked was the right place.
135,Commander's Order,talent,3,Immediately give an order to a non hostile character. The authority in your voice startles them into following the order until they realize they do not need to follow it.
136,Stinging Lie,talent,3,Attempt to decieve your opponent to demoralize them. Roll Cha (Deception) vs the target's Hrt (Empathy). If you succeed they suffer a -2 for all rolls on their next turn.
137,Tools at Hand,talent,2,"You were able to work on this machine without the need to expend materials, resources, or tools."
138,Evasive Maneuver,talent,3,Pull off a sick fake out to lose your pursuers/attackers and escape safely.
139,Runner's High,talent,2,You love the feel of running! Gain +3 towards your next End (Running) test.
140,Perfect Recall,talent,4,You perfectly remember in detail all of the relevent information you need. You might even remember this information as text from a book you remember reading.
141,Scout's Insight,talent,2,While tracking you are able to glean the intentions of an individual or group based on the tracks they leave behind.
142,Smithological,talent,2,"For every 2 doubles points spent, increase the outcome of your roll to receive the benefits of a masterwork ability from the masterwork table."
143,Disappearing Act,talent,5,You may move up to 1/4 your movement to attempt to hide during combat. After you move make a Dex (Stealth) test vs the Perception of all who witnessed you take your movement. If you succeed then you are currently hidden from your opponents. If one target beats you then you are not hidden.
144,Lift and Throw,talent,2,When succeeing a Str (Lifting) test you may throw the object you lifted a number of meters equal to your Str attribute modifier.
