creatorId,worldId,id,name,description,notes,baseStats/hp,baseStats/spd,baseStats/mp,brawling/0,brawling/1,attributeId/0,attributeId/1,language/0,language/1,raceBonus/0/type,raceBonus/0/id,raceBonus/0/type,raceBonus/0/id,raceFocus/0,raceFocus/1,raceFocus/2,rollTable/0/type,rollTable/0/attributeId,rollTable/1/type,rollTable/1/attributeId,rollTable/2/type,rollTable/2/attributeId,rollTable/3/type,rollTable/3/attributeId,rollTable/4/type,rollTable/4/attributeId,rollTable/5/type,rollTable/5/attributeId,rollTable/6/type,rollTable/6/attributeId,lvl10Bonus/0/type,lvl10Bonus/0/id,lvl10Bonus/1/type,lvl10Bonus/1/id,lvl20Bonus/0/type,lvl20Bonus/0/id,lvl20Bonus/1/type,lvl20Bonus/1/id,image/0,image/1,image/2,image/3,image/4,image/5
1,1,11,Ferali: Feline,"The Ferali people come in a huge abundance of shapes and forms called Clans. According to history the original Ferali were genetically modified humans designed to be warriors prior to the fall. Ferali have traits of both humans and beasts from humanity's original planet resulting in them displaying the largest variety of shapes and sizes of any race. Depending on Clan and animal species, Ferali can stand anywhere from 1 m to 2.5 m (4 to 8 ft) and weigh 30 to 160 kg (70 to 350 lbs). About 10% of the world's population are Ferali.
The Ferali often do not see themselves as one race, but instead a group of subraces that they call Clans. Within the Clan, all members are family and the bonds between Clan members are strong. Some Ferali find it difficult to regulate their emotions and instincts and tend to avoid large populations of people resulting in many city dwellers to view the Ferali as uncivilized and dangerous.
The Feline Clan are elegant and graceful. Their sharp claws and stealthy movements make them natural born hunters and assassins. The most common Clan species are Lion, Tiger, Panther, Cheetah, and Ocelot.",,12,4,10,2,3,4,6,1,,power,9,,,,,,,,,,,,,,,,,,,,power,15,,,power,24,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFeline1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFeline2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFeline3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFeline4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFeline5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFeline6.jpg
1,1,12,Ferali: Eagle,"The Ferali people come in a huge abundance of shapes and forms called Clans. According to history the original Ferali were genetically modified humans designed to be warriors prior to the fall. Ferali have traits of both humans and beasts from humanity's original planet resulting in them displaying the largest variety of shapes and sizes of any race. Depending on Clan and animal species, Ferali can stand anywhere from 1 m to 2.5 m (4 to 8 ft) and weigh 30 to 160 kg (70 to 350 lbs). About 10% of the world's population are Ferali.
The Ferali often do not see themselves as one race, but instead a group of subraces that they call Clans. Within the Clan, all members are family and the bonds between Clan members are strong. Some Ferali find it difficult to regulate their emotions and instincts and tend to avoid large populations of people resulting in many city dwellers to view the Ferali as uncivilized and dangerous.
The Eagle Clan are highly perceptive and accurate. Of the two winged Clans, the Eagle Clan is the only one capable of flight. Though they are called the Eagle Clan, a more apt name would probably be the Raptor Clan. The most common Clan species are Eagle, Hawk, Falcon, Vulture, and Owl.",,12,4,10,2,3,5,3,1,,power,10,,,,,,,,,,,,,,,,,,,,power,16,,,power,25,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliEagle1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliEagle2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliEagle3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliEagle4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliEagle5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliEagle6.jpg
1,1,13,Ferali: Lizard,"The Ferali people come in a huge abundance of shapes and forms called Clans. According to history the original Ferali were genetically modified humans designed to be warriors prior to the fall. Ferali have traits of both humans and beasts from humanity's original planet resulting in them displaying the largest variety of shapes and sizes of any race. Depending on Clan and animal species, Ferali can stand anywhere from 1 m to 2.5 m (4 to 8 ft) and weigh 30 to 160 kg (70 to 350 lbs). About 10% of the world's population are Ferali.
The Ferali often do not see themselves as one race, but instead a group of subraces that they call Clans. Within the Clan, all members are family and the bonds between Clan members are strong. Some Ferali find it difficult to regulate their emotions and instincts and tend to avoid large populations of people resulting in many city dwellers to view the Ferali as uncivilized and dangerous.
The Lizard Clan are wise and skillful survivors. They are a very diverse Clan with powerful healing abilities and are the most likely to choose a solitary lifestyle. The most common Clan species are Crocodile, Iguana, Gecko, Skink, and Monitor.",,15,3.5,10,1,3,3,9,1,,power,9,,,,,,,,,,,,,,,,,,,,power,17,action,,power,26,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliLizard1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliLizard2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliLizard3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliLizard4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliLizard5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliLizard6.jpg
1,1,14,Ferali: Raven,"The Ferali people come in a huge abundance of shapes and forms called Clans. According to history the original Ferali were genetically modified humans designed to be warriors prior to the fall. Ferali have traits of both humans and beasts from humanity's original planet resulting in them displaying the largest variety of shapes and sizes of any race. Depending on Clan and animal species, Ferali can stand anywhere from 1 m to 2.5 m (4 to 8 ft) and weigh 30 to 160 kg (70 to 350 lbs). About 10% of the world's population are Ferali.
The Ferali often do not see themselves as one race, but instead a group of subraces that they call Clans. Within the Clan, all members are family and the bonds between Clan members are strong. Some Ferali find it difficult to regulate their emotions and instincts and tend to avoid large populations of people resulting in many city dwellers to view the Ferali as uncivilized and dangerous.
The Raven Clan are intelligent and highly self aware, and are generally considered to be the most naturally arcane of all the Clans. Though they are called the Raven Clan, they consist of a large number of smaller bird species. The most common Raven Clan species are Raven, Parrot, Songbird, and Waterfowl.",,15,3,12,2,3,8,7,1,,power,10,,,,,,,,,,,,,,,,,,,,power,18,,,power,27,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliRaven1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliRaven2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliRaven3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliRaven4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliRaven5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliRaven6.jpg
1,1,15,Ferali: Turtle,"The Ferali people come in a huge abundance of shapes and forms called Clans. According to history the original Ferali were genetically modified humans designed to be warriors prior to the fall. Ferali have traits of both humans and beasts from humanity's original planet resulting in them displaying the largest variety of shapes and sizes of any race. Depending on Clan and animal species, Ferali can stand anywhere from 1 m to 2.5 m (4 to 8 ft) and weigh 30 to 160 kg (70 to 350 lbs). About 10% of the world's population are Ferali.
The Ferali often do not see themselves as one race, but instead a group of subraces that they call Clans. Within the Clan, all members are family and the bonds between Clan members are strong. Some Ferali find it difficult to regulate their emotions and instincts and tend to avoid large populations of people resulting in many city dwellers to view the Ferali as uncivilized and dangerous.
The Turtle Clan are uniquely suited for defense. Their mighty shells provide them with natural armor, but they are the slowest of all the races. The most common Clan species are Snapping, Box, and Tortoise.",,21,2,12,1,3,9,1,1,,power,11,,,,,,,,,,,,,,,,,,,,power,19,,,power,28,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliTurtle1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliTurtle2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliTurtle3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliTurtle4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliTurtle5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliTurtle6.jpg
1,1,16,Ferali: Canine,"The Ferali people come in a huge abundance of shapes and forms called Clans. According to history the original Ferali were genetically modified humans designed to be warriors prior to the fall. Ferali have traits of both humans and beasts from humanity's original planet resulting in them displaying the largest variety of shapes and sizes of any race. Depending on Clan and animal species, Ferali can stand anywhere from 1 m to 2.5 m (4 to 8 ft) and weigh 30 to 160 kg (70 to 350 lbs). About 10% of the world's population are Ferali.
The Ferali often do not see themselves as one race, but instead a group of subraces that they call Clans. Within the Clan, all members are family and the bonds between Clan members are strong. Some Ferali find it difficult to regulate their emotions and instincts and tend to avoid large populations of people resulting in many city dwellers to view the Ferali as uncivilized and dangerous.
The Canine Clan are passionate and perceptive. They have a strong sense of smell and excel at teamwork. The most common Clan species are Wolf, Fox, Jackal, Coyote, and Dog.",,15,3.5,10,2,3,7,5,1,,power,9,,,,,,,,,,,,,,,,,,,,power,20,,,power,29,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliCanine1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliCanine2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliCanine3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliCanine4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliCanine5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliCanine6.jpg
1,1,16,Ferali: Frog,"The Ferali people come in a huge abundance of shapes and forms called Clans. According to history the original Ferali were genetically modified humans designed to be warriors prior to the fall. Ferali have traits of both humans and beasts from humanity's original planet resulting in them displaying the largest variety of shapes and sizes of any race. Depending on Clan and animal species, Ferali can stand anywhere from 1 m to 2.5 m (4 to 8 ft) and weigh 30 to 160 kg (70 to 350 lbs). About 10% of the world's population are Ferali.
The Ferali often do not see themselves as one race, but instead a group of subraces that they call Clans. Within the Clan, all members are family and the bonds between Clan members are strong. Some Ferali find it difficult to regulate their emotions and instincts and tend to avoid large populations of people resulting in many city dwellers to view the Ferali as uncivilized and dangerous.
The Frog Clan are charismatic acrobatic, and skilled swimmers. They have powerful long tongues, and are adept at navigating in all types of terrain. The most common Clan species are Toad, Tree, Pond, and Poisonous.",,12,3.5,12,1,5,6,4,1,,power,12,,,,,,,,,,,,,,,,,,,,power,21,,,power,30,,,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFrog1.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFrog2.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFrog3.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFrog4.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFrog5.jpg,https://rise-character-planner.s3.us-west-1.amazonaws.com/images/races/feraliFrog6.jpg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
