id,name,description,recommendedAttributes/0,recommendedAttributes/1,recommendedAttributes/2,recommendedStats/0,recommendedStats/1,requirements/0,requirements/1,requirements/2,ranks/0/type,ranks/0/id,ranks/1/type,ranks/1/id,ranks/2/type,ranks/2/id,ranks/3/type,ranks/3/id,ranks/4/type,ranks/4/id,ranks/5/type,ranks/5/id,ranks/6/type,ranks/6/id,ranks/7/type,ranks/7/id,ranks/8/type,ranks/8/id
11,Commander,The true leader on the battlefield. Commanding their armies and allies from the frontlines. The commander will bring their people victory.,Cha,End,Wis,HP,Spd,Lead an NPC to victory in battle.,Lead a group of at least 2 NPCs who have sworn themselves to you through 3 total combat encounters.,Lead and win a battle in which you and your followers were outnumbered and outclassed with 0 casualties.,power,,,,,,,,,,,,,,,,,
12,Death Knight,"A lone knight falls amongst his slain comrades. As they lay dying, the knight's hatred and regret grows to the point where they will evade death until they have taken their revenge.",End,Str,Acc,HP,Spd,Have a near death experience. Be willing to do anything to avoid death.,Fall below 0 HP a total of 3 times.,Be reduced to nothing more than a skeleton as a Death Knight.,power,,power,,power,,,,,,,,,,,,,
13,Delver,Explorer of the vast lands and ruins of the world. Careful not to delve into a dungeon deeper than you can climb out!,Per,Dex,Int,Spd,HP,Successfully enter and fully explore a hostile base/dungeon/cave etc,Use your exploration drone to detect 3 traps or detection systems without triggering them.,Use your exploration drone to scan enemies on 5 unique occasions.,power,,,,power,,,,,,,,,,,,,
14,Druid,"Friend to nature, you would rather be around plants and spend time in your garden than among people. Manipulate plants to attack your foes and cast powerful support spells using them.",Wis,Hrt,Per,MP,HP,Spend at least 1 hour per day surrounded by nature.,You must now always sleep surrounded by nature.,"You cannot be separated from nature for more than 8 hours, or you will lose your Druidic powers until your rest among nature again.",,,power,,power,,,,,,,,,,,,,
15,Drunken Master,"Your body has adapted to alcohol, and now gains power and strength from drinking.",Dex,End,Acc,Spd,HP,Become wasted on 5 separate occasions.,Survive after entering the Dying state on the Sobriety table.,Spend 1 week straight while intoxicated.,power,,,,,,,,,,,,,,,,,
16,Duelist,"You have two hands, why not use two weapons? Seriously what a waste.",Acc,Str,Dex,HP,Spd,Successfully make at least 3 melee attacks with 2 different weapons during a single combat encounter.,Successfully make at least 7 melee attacks with 2 different weapons during a single combat encounter.,Successfully make at least 12 melee attacks with 2 different weapons during a single combat encounter.,,,,,,,,,,,,,,,,,,
17,Elemancer,"Only the Avatar, master of all the elements, could stop them, but when the world needed them most, they vanished. (go deep with one or shallow with many)",Int,Dex,Hrt,MP,HP,Learn the novice level spells for a single element.,Learn all of the spells for a single element.,Learn all of the spells for two or more elements.,,,,,,,,,,,,,,,,,,
18,Engineer,"You make it your goal to design, build, and modify weapons and armor to suit your needs. Plasma sword anyone? Mech suit? ",Dex,Int,Per,Spd,MP,Successfully make modifications on 3 tools or weapons to improve them.,Construct a BPE and install either a PAC or PJC,"Fully kit out a BPE made from either Black Steel, Orichalcum, or Tritanium with a powered weapon and visual modifier",power,,,,,,,,,,,,,,,,,
19,Gambler of Fate,"All or nothing, you guide the strings of fate and weave them to create the pattern you desire. This power could easily slip through your fingers though if your luck runs out.",Wis,Cha,Dex,Spd,MP,Roll triples and succeed a test roll.,Roll a legendary [6][6][6] or a Crit Fail [1][1][1],Have the GM roll you a legendary [6] [6] [6] with the use of the spell Role Reversal.,,,,,,,,,,,,,,,,,,
20,Gladiator,You are at your strongest when the crowds are cheering you on. You thrive in the one on one battle arena. You are the gladiator.,End,Str,Dex,HP,Spd,Survive a 1-on-1 battle in front of a crowd of at least 5 people.,Survive a battle where you are outnumbered 2-to-1 before crowd of at least 50 people.,Fight and win in a 1-on-1 battle before a crowd of at least 500 people,power,,,,,,,,,,,,,,,,,
21,Guardian,"Protect and serve. You live to guard those whom you have given your life to. Your live your life as a shield, so you better not go down, they are relying on you.",End,Str,Hrt,HP,Spd,Take a hit meant for someone else to protect them.,Block 5 or more attacks in one round.,Tank 100 total damage in a single encounter,power,,,,,,,,,,,,,,,,,
22,Gunfighter,Guns blazing is an excellent motto. Especially the guns part. Lots of them. ,Acc,Dex,Per,Spd,HP,Land 3 shots in a row in a single combat encounter with a pistol. ,Slay 2 creatures in a single round with shots from your firearms.,Land 9 shots against a single target with your firearms in one combat encounter.,,,,,,,,,,,,,,,,,,
23,Hunter,"Once you have set your mind to finding your target, they will never escape you. They can run, but they can't hide.",Per,Dex,Acc,Spd,HP,Successfully track a creature. ,Successfully hunt a moderate level threat and defeat it without initiating combat.,Successfully hunt a major level threat and defeat it without initiating combat.,,,,,,,,,,,,,,,,,,
24,Juggler,"Specialized in throwing all sorts of weapons or tools. Throw a dagger at an enemy, toss an ally a potion, or juggle flaming swords to impress a crowd.",Acc,Dex,Per,Spd,HP,Sucessfully throw an item in combat and hit your mark 3 times.,Catch an item thrown at you by an enemy in combat and throw it back.,Hit a single target with 3 thrown objects in one turn twice in a row. (on 2 subsequent turns for 6 total hits for a single target),power,,,,,,,,,,,,,,,,,
25,Knight,Valient and honorable. The knight is the epitome of what a warrior should strive to become. Don't forget to save the damsel in distress.,Str,Hrt,End,HP,Spd,Help someone in need and choose to take nothing in return.,You can no longer accept compensation after helping someone,You can no longer turn down any sincere requests for help.,power,,,,,,,,,,,,,,,,,
26,Mage Hunter,"You specialize in hunting down and eliminating users of magic. Resist and deflect magic with your shield, and cut through their defenses with your sword.",Hrt,Str,Wis,HP,Spd,Kill a person or creature who uses magic. (you cannot use magic yourself),Negate an enemy spell  during combat 3 times.,Single handedly defeat 3 magic users in a single combat encounter.,power,,,,,,,,,,,,,,,,,
27,Martial Artist,"Mastery of weapons, fast as the wind. Silent and deadly. You prefer subs over dubs.",Dex,Acc,Per,Spd,HP,The martial artist is proficeint in all manner of weapons. Land a hit with one weapon from each weapon category.,Successfully land an attack with 3 different weapons in a single combat encoutner.,Land and activate Paralyzing Blow against the same target two rounds in a row.,power,,,,,,,,,,,,,,,,,
28,Medic,"Deftly provides support while out in the field, dodging all attacks to bring aide and healing to their wounded teammates.",Int,End,Acc,Spd,HP,Must have attained Rank 1 in the Medicine Talent,Save a dying ally with the urgent care stunt,Use First Aid to help others recover 50 or more HP in a single encounter.,power,,,,,,,,,,,,,,,,,
29,Mentalist,"Manipulate the weak minded, confound the foolish, and become the center of attention. Their minds are like putty in your hands.",Wis,Cha,Dex,Spd,MP,Manipulate someone into acting in the way you desire.,"Finish a combat encounter that lasts at least 3 rounds, without being targeted by attacks.",Manipulate a foe into becoming an ally.,,,,,,,,,,,,,,,,,,
30,Monk,Meditation is the key to enlightenment. Channel your inner energy into your fists and bring balance to the world.,Hrt,Acc,Str,HP,Spd,Must have attained Rank 1 in the Zen Talent,"A Monk must endure intense mental, spiritual and physical training. Fast for 9 days straight. You will be in an Exhausted Fatigue state during this time.",A true monk knows that rage and anger must be kept at bay. Master your emotions. If you lose control of your emotions you will be unable to use your monk powers.,power,,,,,,,,,,,,,,,,,
31,Necromancer,The Necromancer is a master over death itself. They study the deep and forbidden secrets long since forbidden by the Constellations. ,Int,End,Hrt,MP,HP,Disect and study a living creature while healing it to keep it alive. You must also know at least 1 Conjuration spell. ,Summon and command 10 undead to defeat an enemy.,Grant your Heroic Undead Commander a name and an undead legion. Provide it the opportunity to prove its loyalty to you.,,,power,,,,,,,,,,,,,,,
32,Noble,I'm very important. I have many leather-bound books and my apartment smells of rich mahogany.,Cha,Per,Hrt,HP,Spd,"The divine right of those born into nobility, or granted it from another noble.",Become the ruler of a town or small city,Become a ruler of  a major city or small nation.,power,,,,,,,,,,,,,,,,,
33,Orator,"You are master of words and sound. Sticks and stones may break your bones, but an Orator's words WILL kill you.",Int,Per,Dex,HP,Spd,Must only be able to cast spells with verbal commands.,Learn how to cast Ward and Force Field. Cast both around yourself simultaneously to protect yourself while defeating an enemy with your voice.,Defeat 5 total enemies on your own with your voice without them seeing you.,,,,,,,,,,,,,,,,,,
34,Outrider,Your steed will carry you to the ends of the earth. Faster and faster you ride. Able to wield weapons with ease while mounted,Hrt,Dex,Str,HP,Spd,Tame or purchase a mountable creature,Obtain a tamed and mountable creature of a Moderate level threat or higher.,Obtain a tamed and mountable creature of a Major level threat or higher.,power,,,,,,,,,,,,,,,,,
35,Pacifist,You have a strong aversion to violence and prefer to use your words and actions to diffuse  combat scenarios. All NPC adversaries have the potential to be convinced to halt combat and reach a peaceful resolution. ,Cha,Hrt,End,Spd,HP,Be attacked by an enemy and refuse to fight back.,Successfully initate peace talks and completely convince an NPC to choose a peaceful outcome.,You cannot engage in combat until you have attempted peace talks with every opponent at least twice.,,,,,,,,,,,,,,,,,,
36,Paladin,Your strength comes from a higher power. You have sworn your life to one of the 8 Constellations and must follow their tennets or lose your power.,Hrt,End,Per,HP,Spd,Commit your life to one of the constellations and follow their tennents unwaveringly.,Fervently pray to your Constellation for at least 1 hour a day for 30 days. You must continue this prayer ritual going forward or you will lose access to these abilities.,Physically meet with and earn the trust of the Constellation you have sworn yourself to.,power,,power,,,,,,,,,,,,,,,
37,Pirate,"Yaharrg matey, a pirates life be about sailing the seas (or lands or skies) in search of Treasure. Damned be the fools who get in your way!",Dex,Per,Acc,HP,Spd,Successfully attack and commandeer any vessel/vehicle.,"Plunder and steal from a vessel to gain 2,000 Credits worth of goods.",Own and captain a large vessel with a crew of at least 15.,,,,,,,,,,,,,,,,,,
38,Planes Walker,"Space-Time is no obstacle to you. Your pocket dimensions grant you incredible versatility, and your mobility is unmatched among mortals. This power comes from your otherworldy tattoos.",Wis,Int,Per,MP,HP,Get tattooed with an astral mark representing the Planes Walker,"Cast warp self 25 total times. If you can warp, you should warp.","Have at least 100 different creatures move through one of your Gates, and open a Gate to 10 unique locations.",,,,,,,,,,,,,,,,,,
39,Potions Master,"A Master at creating and administering potions of all kinds from deadly toxins, venoms, and poisons as well as restoritive, supportive, and strength potions.",Int,Per,Dex,Spd,HP,"Learn a recipe for, and brew, a basic level potion: (examples) Pain killer, hangover cure, warming potion, cooling potion, allergic itching poison. ",Brew a total of 15 potions. (5 must be unique),Successfully experiment with potions ingredients and formulate 3 unique new potions unknown to the general public.,power,,,,,,,,,,,,,,,,,
40,Rampager,"Born of grief and loss, you gave into the darkness of your Berserker rage. Blinded to everything but masacre and destruction you rampage across the battlefield cleaving friend and foe alike.",Str,Acc,End,HP,Spd,As a Berserker suffer a great loss while enraged. Give into your rage and hate. Spare no one. Lose all Berserker levels and gain them as a Rampager. ,Slay 10 creatures while in a rampaging state.,"Enter a combat encounter while rampaging with at least 10 total creatures, and slay all of them.",,,power,,,,,,,,,,,,,,,
41,Razor,Your power is proportional to your lifeforce. Your blood makes your weapons and abilities stronger. The weaker you become the stronger you are.,Dex,Per,Str,Spd,Spd,Fall into a dying state and survive.,Slay 3 enemies while at 10 HP or less. (This does not need to occur in the same encounter),Become addicted to being at low HP. Your body resists healing. You recover 1/2 the normal amount of HP from healing effects.,power,,,,,,,,,,,,,,,,,
42,Samurai,"Warriors of old, wielding techniques perfected and passed down through countless generations. There is very little, if anything, they hold more value in than their honor.",Dex,Str,Acc,HP,Spd,"Commit to following Bushido, the code of honor. 

Samurai wield katana, tanto, and bows. The katana is always used 2-handed",Choose a Lord to dedicate your blade to. OR Become a Ronin and dedicate your blade to serving those in need of your service.,"If you ever break your Code of Bushido, you must prepare yourself to take your own life by committing Seppuku",power,,,,,,,,,,,,,,,,,
43,Seer,"Visions and insight have always come to you in dreams or awake. Some of them come to pass exactly the way you have seen them, others you try to keep coming to pass.",Wis or Per,Int,Hrt,MP,Spd,Accurately predict an event that eventually comes to pass within the next few hours. (max one guess per day),Accurately predict a monumental event that eventually comes to pass within the next few days. (max one guess per week),Accurately predict a word changing event that eventually comes to pass within the next few weeks. (max one guess per month),,,,,,,,,,,,,,,,,,
44,Shade,"You merely adopted the dark; I was born in it, moulded by it. I didn't see the light until I was already a man, by then it was nothing to me but BLINDING!",Dex,Acc,Wis,Spd,MP,Slay a person in the darkness as they are sleeping. ,Spend 72 hours in complete darkness. If you experience any light during this time you must restart.,While in the light of day your Attributes are all decreased by 1. Clothing does not protect against this.,power,,,,,,,,,,,,,,,,,
45,Shaman,Your spores can only infect biological organisms. You are seriously one fun guy!,Wis,End,Int,MP,HP,"Survive after eating a poisonous mushroom, or after being infected by a fungal disease.",Allow the fungus you cultivate to spread over your entire body. Giving your skin a sickly look and smell.,Become the host for a small colony of at least 1000 insects,,,,,,,,,,,,,,,,,,
46,Shapeshifter,Why should animals and monsters get all the fun. Sometimes it would be nice to have the sense of smell of a dog. Sometimes you just want to grow a giant crab claw. Why not both?,Int,Hrt,Per,MP,Spd,Become intimately familiar with a feature of a particular animal or monster through intensive study.,Cast Partial Transformation with 3 different unique creatures. ,Obtain the ability to shapeshift into a Dire Level threat or higher. ,,,,,,,,,,,,,,,,,,
47,Sniper,"It is much safer, and more effective, to shoot someone from hundreds of meters away than getting up close and personal. ",Acc,Per,Str,Spd,HP,Successfully land a targeted shot from 50 meters,Land a headshot from 100 m.,Slay a major level threat or higher from full health with a single shot from at least 100 m.,,,,,,,,,,,,,,,,,,
48,Slayer,"Your vengence will not be quenched until your nemesis have been slain. You are specialized to kill them, and you're damn good at it.",Str,Acc,Hrt,HP,Spd,You have experienced great loss due to a species of creature.,"You must spend at least 1 hour/day dedicated to vengence. Either practicing slaying your target, studying your target, theorizing, etc.",Obtained vengence by slaying 10 unique creatures/people related to your slayer specialization.,power,,,,,,,,,,,,,,,,,
49,Sorcerer,"A powerful and efficient magic-user who doesn't care to learn multitudes of spells, and instead relies on their innate magical power to hurl pure energy at their foes.",Wis,Acc,Hrt,MP,HP,Use a single offensive spell at least 5 times.,Fire your Arcane Bolt and hit an enemy 10 total times.,Deal 100 total arcane damage in a single combat encounter.,,,,,,,,,,,,,,,,,,
50,Spellsword,Magic.. Swords… You use magic swords and use magic on your swords. You could even use swords on your magic if you wanted. Your weapon of choice doesn't have to be a sword… but it just wouldn't sound as cool.,Int,Wis,Str,MP,HP,Somehow discover a way to imbue your weapon with an energy beyond your own.,Empower your weapon with both Elemental Weapon and Imbue Weapon. Then discover a way to further empower that weapon with a new power simultaneously.,Commit to only ever using your designated Spellsword weapon as a means of attacking and dealing damage.,,,,,,,,,,,,,,,,,,
51,Thief,"Sneaking and stealing, breaking and entering, disarming traps, picking locks and pockets. Oh. And getting hella rich too.",Dex,Per,Cha,Spd,HP,Successfully steal and fence 200 Credits worth of goods.,"Successfully steal and fence 5,000 Credits worth of goods.","Successfully steal and fence 20,000 Credits worth of goods.",power,,,,,,,,,,,,,,,,,
52,Trickster,"Master of sleight of hand and real Illusion. Make the people see what you want them to see, and believe what you want them to believe.",Cha,Wis,Dex,Spd,HP,Deceive someone into making a major decision that benefits you.,Deceive an organization/group/room of people/ or guild into making a major decision that benefits you.,Deceive an entire city or nation into making a major decision that benefits you.,power,,,,,,,,,,,,,,,,,
53,Warlock,"Make a connection to an ancestor. Speak with them, borrow their weapons, tools, and armor. Summon them and their powers to this world.",Int,Hrt,Cha,MP,HP,Visit a place of power dedicated to an otherworldly being and make a pact with this being as your Patron.,Speak with your Patron on 5 separate occasions.,Earn the respect of your Patron.,,,,,,,,,,,,,,,,,,
54,Wizard / Witch,Wield your staff or wand to channel more powerful arcana.  The most versatile of all the mages. Every spell is a tool in your arsenal.,Int,Wis,Hrt,MP,HP,Must cast spells with an arcane nucleus of either a wand or staff.,Know and be able to cast spells from at least five unique Arcane Disciplines.,Develop and master your own unique spell by combining your knowledge and understanding of 2 or more spells to create something new.,,,,,,,,,,,,,,,,,,
