id,creatorId,world/0,name,notes,points,requirement/attribute/0/id,requirement/attribute/0/value,requirement/attribute/1/id,requirement/attribute/1/value,requirement/attribute/2/id,requirement/attribute/2/value,requirement/other,upgrade/type,upgrade/id,upgrade/isRepeatable
55,1,1,Charisma,"The cost to increase this attribute is equivalent to the level of the attribute you are attempting to gain. Minimum 2 points. 
Example 1: you currently have 2 End and you want 3 End, this will cost 3 points. 
Example 2: you currently have 0 Dex and want 1 Dex, this will cost 2 points. (minimum of 2)",,6,,,,,,attribute,attribute,6,0
56,1,1,Taunt,,1,6,1,,,,,,stunt,54,0
57,1,1,Alluring Visage,,1,6,2,,,,,,power,64,0
58,1,1,Feign Weakness,,2,6,3,,,,,,stunt,55,0
59,1,1,Unassuming,,2,6,4,,,,,,power,65,0
60,1,1,Cutting Words,,3,6,5,,,,,,stunt,56,0
61,1,1,Rabble Rouser,,3,6,6,,,,,,power,66,0
62,1,1,No Hesitation,,3,4,5,5,5,,,,power,67,0
63,1,1,Lucky,,3,4,5,6,5,,,,power,68,0
64,1,1,6th Sense,,3,5,5,6,5,,,,power,69,0
65,1,1,Cunning Action,,3,4,5,5,5,6,5,,power,70,0
66,1,1,Heart,"The cost to increase this attribute is equivalent to the level of the attribute you are attempting to gain. Minimum 2 points. 
Example 1: you currently have 2 End and you want 3 End, this will cost 3 points. 
Example 2: you currently have 0 Dex and want 1 Dex, this will cost 2 points. (minimum of 2)",,7,,,,,,attribute,attribute,7,0
67,1,1,Clear Mind,,1,7,1,,,,,,stunt,57,0
68,1,1,Deep Focus 1,,1,7,2,,,,,,power,71,0
69,1,1,Deep Focus 2,,2,7,4,,,,,,power,72,0
70,1,1,Deep Focus 3,,3,7,6,,,,,,power,73,0
71,1,1,Stunned Silence,,2,7,3,,,,,,stunt,58,0
72,1,1,Strong Willed,,2,7,4,,,,,,power,74,0
73,1,1,Meditative Spirit,,3,7,5,,,,,,stunt,59,0
74,1,1,Caring Soul,,3,7,6,,,,,,power,77,0
75,1,1,Intelligence,"The cost to increase this attribute is equivalent to the level of the attribute you are attempting to gain. Minimum 2 points. 
Example 1: you currently have 2 End and you want 3 End, this will cost 3 points. 
Example 2: you currently have 0 Dex and want 1 Dex, this will cost 2 points. (minimum of 2)",,8,,,,,,attribute,attribute,8,0
76,1,1,Basic Spell,Learn a basic level spell from any school of magic.,1,8,0,,,,,basic,spell,,1
77,1,1,Powerful Casting 1,,1,8,1,,,,,,stunt,60,0
78,1,1,Powerful Casting 2,,2,8,3,,,,,,power,561,0
79,1,1,Powerful Casting 3,,3,8,5,,,,,,power,562,0
80,1,1,Novice Spell,Learn a novice level spell from any school of magic.,1,8,2,,,,,novice,spell,,1
81,1,1,Mighty Arcanum,,2,8,3,,,,,,stunt,61,0
82,1,1,Lethal Arcanum,,2,8,4,,,,,,stunt,147,0
83,1,1,Deadly Arcanum,,2,8,5,,,,,,stunt,148,0
84,1,1,Adept Spell,Learn an Adept level spell for a school of magic that you already know at least one novice spell in.,2,8,4,,,,,adept,spell,,1
85,1,1,Flashbang,,3,8,5,,,,,,stunt,62,0
86,1,1,Master Spell,Learn a Master level spell for a school of magic that you already know at least one Adept level spell in.,3,8,6,,,,,master,spell,,1
87,1,1,Wisdom,"The cost to increase this attribute is equivalent to the level of the attribute you are attempting to gain. Minimum 2 points. 
Example 1: you currently have 2 End and you want 3 End, this will cost 3 points. 
Example 2: you currently have 0 Dex and want 1 Dex, this will cost 2 points. (minimum of 2)",,9,,,,,,attribute,attribute,9,0
88,1,1,Lasting Focus,,1,9,1,,,,,,stunt,63,0
89,1,1,Plan of Action 1,,1,9,2,,,,,,action,24,0
90,1,1,Plan of Action 2,,2,9,4,,,,,,power,78,0
91,1,1,Plan of Action 3,,3,9,6,,,,,,power,79,0
92,1,1,Free Casting,,2,9,3,,,,,,stunt,64,0
93,1,1,Experienced Mage,,2,9,4,,,,,,power,80,0
94,1,1,Split Arcana,,3,9,5,,,,,,stunt,65,0
95,1,1,Great Sage,,3,9,6,,,,,,power,81,0
96,1,1,Overclock,,3,7,5,8,5,,,,power,82,0
97,1,1,Arcane Recovery,,3,7,5,9,5,,,,power,83,0
98,1,1,Spell Failsafe,,3,8,5,9,5,,,,power,84,0
99,1,1,Magus Intellectus,,3,7,5,8,5,9,5,,power,85,0
